ocs,wv0010,Latitude,wv1500,Longitude,wv0033,phh2o,soc,silt,cec,nitrogen,ocd,clay,Error,sand,cfvo,bdod
39,395,20.3,149,81.9,346,65,166,260,341,181,211,340,,400,130,148
41,413,20.3,166,82.0,341,65,166,295,361,174,207,338,,366,102,150
40,397,20.3,137,82.1,347,59,253,278,254,149,222,322,,400,105,141
38,413,20.3,152,82.2,354,64,232,295,305,175,253,337,,367,152,140
41,404,20.3,151,82.3,345,65,183,294,319,162,224,365,,342,101,146
46,388,20.3,157,82.4,352,61,407,274,302,253,290,366,,360,150,134
46,400,20.3,162,82.5,358,65,316,274,297,213,281,351,,375,223,136
31,400,20.3,151,82.6,347,67,135,287,254,156,203,331,,381,126,154
31,410,20.3,164,82.7,351,70,143,344,254,151,211,380,,276,69,154
34,416,20.3,155,82.8,342,66,148,347,255,161,221,349,,304,126,152
31,410,20.3,157,82.9,330,68,131,344,236,146,213,358,,297,65,153
36,416,20.3,154,83.0,337,65,118,351,246,146,231,359,,291,92,148
38,410,20.3,150,83.1,304,66,136,345,236,158,220,327,,328,75,145
41,416,20.3,142,83.2,335,65,269,330,239,191,262,313,,358,187,135
41,406,20.3,166,83.3,343,65,405,370,251,157,254,286,,344,121,129
43,412,20.3,137,83.4,324,65,164,367,212,166,229,286,,347,67,145
38,399,20.3,132,83.5,324,63,179,324,217,166,246,285,,391,119,139
50,395,20.3,141,83.6,303,59,322,285,219,190,309,290,,425,235,126
52,396,20.3,161,83.7,322,58,319,301,246,216,291,305,,394,199,124
59,366,20.3,164,83.8,344,59,349,298,196,224,315,291,,411,154,127
61,375,20.3,163,83.9,347,58,412,287,202,257,345,311,,402,201,124
51,366,20.3,174,84.0,343,61,376,291,208,262,304,302,,407,227,130
49,386,20.3,177,84.1,346,62,338,275,199,254,299,344,,381,142,132
48,369,20.3,173,84.2,345,57,314,305,188,204,310,324,,371,118,126
43,393,20.3,168,84.3,334,60,259,269,167,165,293,337,,395,136,131
55,400,20.3,161,84.4,329,59,341,339,223,200,292,291,,369,243,126
41,404,20.3,161,84.5,331,63,209,274,175,163,266,325,,402,99,133
52,403,20.3,145,84.6,334,57,286,360,174,231,307,275,,364,190,123
61,407,20.3,179,84.7,337,58,391,360,228,353,366,263,,377,229,122
48,402,20.3,157,84.8,335,60,303,350,179,200,310,283,,366,140,127
49,405,20.3,169,84.9,339,59,344,295,166,181,316,326,,379,170,126
41,397,20.3,159,85.0,340,62,241,319,160,155,298,313,,368,60,131
50,396,20.3,156,85.1,342,62,248,294,155,178,274,297,,408,95,126
44,396,20.3,151,85.2,333,62,214,334,189,163,290,335,,331,55,137
43,406,20.3,151,85.3,344,62,209,287,173,151,274,341,,372,81,133
47,400,20.3,157,85.4,310,63,195,341,201,157,285,322,,336,103,134
47,397,20.3,151,85.5,310,62,196,355,199,172,313,317,,328,110,134
46,399,20.3,155,85.6,323,62,220,306,174,180,293,291,,403,95,126
41,379,20.3,146,85.7,322,63,236,314,183,168,307,300,,386,107,126
,,20.3,,85.8,,,,,,,,,,,,
43,388,20.3,172,85.9,326,64,217,316,161,171,297,343,,340,77,127
50,402,20.3,190,86.0,318,65,227,334,191,181,360,375,,291,60,129
46,396,20.3,196,86.1,334,65,209,351,190,157,318,372,,277,70,127
49,393,20.3,202,86.2,333,64,248,379,190,181,341,364,,256,77,127
49,385,20.3,202,86.3,320,65,285,419,184,214,369,349,,231,68,123
46,385,20.3,209,86.4,323,66,233,393,190,205,324,372,,235,59,126
51,371,20.3,206,86.5,310,65,237,426,184,191,344,369,,204,60,120
47,371,20.3,201,86.6,312,68,254,467,183,211,349,336,,197,47,123
56,370,20.3,205,86.7,313,65,441,457,245,228,404,329,,214,70,103
,,20.3,,86.8,,,,,,,,,,,,
,,20.3,,86.9,,,,,,,,,,,,
,,20.3,,87.0,,,,,,,,,,,,
,,20.3,,87.1,,,,,,,,,,,,
,,20.3,,87.2,,,,,,,,,,,,
,,20.3,,87.3,,,,,,,,,,,,
,,20.3,,87.4,,,,,,,,,,,,
,,20.3,,87.5,,,,,,,,,,,,
,,20.3,,87.6,,,,,,,,,,,,
,,20.3,,87.7,,,,,,,,,,,,
,,20.3,,87.8,,,,,,,,,,,,
,,20.3,,87.9,,,,,,,,,,,,
,,20.3,,88.0,,,,,,,,,,,,
,,20.3,,88.1,,,,,,,,,,,,
,,20.3,,88.2,,,,,,,,,,,,
,,20.3,,88.3,,,,,,,,,,,,
,,20.3,,88.4,,,,,,,,,,,,
,,20.3,,88.5,,,,,,,,,,,,
,,20.3,,88.6,,,,,,,,,,,,
,,20.3,,88.7,,,,,,,,,,,,
,,20.3,,88.8,,,,,,,,,,,,
,,20.3,,88.9,,,,,,,,,,,,
,,20.3,,89.0,,,,,,,,,,,,
,,20.3,,89.1,,,,,,,,,,,,
,,20.3,,89.2,,,,,,,,,,,,
,,20.3,,89.3,,,,,,,,,,,,
,,20.3,,89.4,,,,,,,,,,,,
,,20.3,,89.5,,,,,,,,,,,,
,,20.3,,89.6,,,,,,,,,,,,
,,20.3,,89.7,,,,,,,,,,,,
,,20.3,,89.8,,,,,,,,,,,,
,,20.3,,89.9,,,,,,,,,,,,
,,20.3,,90.0,,,,,,,,,,,,
,,20.3,,90.1,,,,,,,,,,,,
,,20.3,,90.2,,,,,,,,,,,,
,,20.3,,90.3,,,,,,,,,,,,
,,20.3,,90.4,,,,,,,,,,,,
,,20.3,,90.5,,,,,,,,,,,,
,,20.3,,90.6,,,,,,,,,,,,
,,20.3,,90.7,,,,,,,,,,,,
,,20.3,,90.8,,,,,,,,,,,,
,,20.3,,90.9,,,,,,,,,,,,
,,20.3,,91.0,,,,,,,,,,,,
,,20.3,,91.1,,,,,,,,,,,,
,,20.3,,91.2,,,,,,,,,,,,
,,20.3,,91.3,,,,,,,,,,,,
,,20.3,,91.4,,,,,,,,,,,,
,,20.3,,91.5,,,,,,,,,,,,
,,20.3,,91.6,,,,,,,,,,,,
,,20.3,,91.7,,,,,,,,,,,,
,,20.3,,91.8,,,,,,,,,,,,
,,20.3,,91.9,,,,,,,,,,,,
,,20.3,,92.0,,,,,,,,,,,,
,,20.3,,92.1,,,,,,,,,,,,
,,20.3,,92.2,,,,,,,,,,,,
,,20.3,,92.3,,,,,,,,,,,,
,,20.3,,92.4,,,,,,,,,,,,
,,20.3,,92.5,,,,,,,,,,,,
,,20.3,,92.6,,,,,,,,,,,,
,,20.3,,92.7,,,,,,,,,,,,
63,372,20.3,198,92.8,338,60,383,369,277,333,349,348,,284,140,119
,,20.3,,92.9,,,,,,,,,,,,
60,372,20.3,197,93.0,322,59,295,368,270,300,351,342,,291,97,125
59,370,20.3,211,93.1,324,59,344,358,277,336,356,347,,295,120,123
66,373,20.3,196,93.2,322,62,418,351,290,403,351,339,,309,112,121
56,366,20.3,189,93.3,320,61,322,323,246,245,374,354,,323,163,126
52,363,20.3,179,93.4,316,57,359,327,230,230,375,284,,389,168,126
60,378,20.3,180,93.5,313,56,393,313,223,291,413,275,,413,215,119
63,386,20.3,182,93.6,334,54,380,304,235,270,391,278,,418,202,116
74,399,20.3,185,93.7,338,60,394,321,234,301,400,278,,401,223,123
58,382,20.3,172,93.8,326,57,322,335,197,303,375,261,,404,210,120
60,391,20.3,164,93.9,326,57,312,373,206,410,350,226,,401,234,123
75,411,20.3,196,94.0,343,55,392,368,222,396,416,247,,384,202,120
73,413,20.3,187,94.1,349,55,463,342,271,386,419,303,,355,164,112
79,407,20.3,206,94.2,363,56,769,354,246,515,485,289,,357,213,103
62,406,20.3,154,94.3,320,58,341,306,186,247,332,265,,428,188,125
50,382,20.3,161,94.4,308,58,270,261,190,223,323,315,,425,169,125
41,375,20.3,164,94.5,272,64,264,267,194,182,327,320,,413,142,132
47,366,20.3,159,94.6,295,65,273,276,198,158,279,318,,406,141,135
47,361,20.3,166,94.7,259,67,212,307,188,175,298,311,,382,60,137
47,374,20.3,190,94.8,271,67,224,307,242,186,300,346,,347,62,139
47,380,20.3,168,94.9,285,68,388,316,235,146,270,335,,349,54,127
39,373,20.3,160,95.0,298,69,493,257,208,171,282,341,,403,125,130
44,379,20.3,159,95.1,313,70,421,285,214,173,282,330,,386,91,
50,377,20.3,161,95.2,309,69,482,284,234,218,294,328,,388,167,
46,377,20.3,164,95.3,305,69,305,291,207,179,289,301,,407,122,130
43,383,20.3,166,95.4,297,67,310,304,194,183,302,336,,361,93,132
48,380,20.3,154,95.5,304,66,211,274,215,169,278,302,,424,150,135
47,383,20.3,156,95.6,301,66,231,292,238,209,320,289,,419,177,137
48,377,20.3,165,95.7,305,66,245,258,240,198,306,309,,432,222,140
44,370,20.3,162,95.8,296,66,227,245,155,170,274,301,,454,156,137
42,365,20.3,162,95.9,303,65,239,266,165,172,249,302,,432,155,141
44,375,20.3,179,96.0,301,63,226,240,174,183,260,303,,457,143,134
41,384,20.3,165,96.1,297,66,320,274,190,154,276,299,,427,117,136
40,384,20.3,180,96.2,300,63,201,340,199,152,260,328,,333,86,137
49,380,20.3,183,96.3,291,64,259,310,179,215,265,281,,409,119,129
70,379,20.3,192,96.4,332,56,454,295,206,508,384,309,,396,231,115
67,374,20.3,187,96.5,278,55,442,326,199,465,365,282,,392,207,116
62,402,20.3,175,96.6,346,57,295,303,165,271,334,319,,379,145,112
56,408,20.3,182,96.7,345,60,345,296,184,229,329,340,,365,162,119
67,416,20.3,195,96.8,358,59,350,284,209,251,353,359,,357,155,110
54,407,20.3,150,96.9,327,60,260,323,165,223,315,307,,370,77,126
68,411,20.3,176,97.0,341,57,337,291,161,254,300,332,,377,168,115
67,406,20.3,175,97.1,349,58,354,290,181,268,317,303,,408,143,118
52,395,20.3,164,97.2,335,63,234,350,155,188,294,296,,353,117,125
53,401,20.3,165,97.3,346,62,262,327,201,225,294,309,,364,127,122
56,405,20.3,179,97.4,352,58,318,281,177,240,331,318,,401,122,116
54,402,20.3,166,97.5,356,62,232,300,186,234,294,316,,383,127,120
54,394,20.3,176,97.6,346,62,234,324,182,203,289,307,,369,112,125
55,391,20.3,162,97.7,336,57,224,323,153,189,280,274,,404,129,122
57,404,20.3,180,97.8,343,56,323,302,164,285,309,270,,428,158,117
59,390,20.3,158,97.9,338,58,284,327,164,304,302,277,,396,151,124
54,396,20.3,152,98.0,345,60,270,355,209,222,298,261,,384,123,121
