wv0033,silt,Error,wv1500,cec,ocs,Longitude,Latitude,phh2o,sand,wv0010,nitrogen,ocd,cfvo,clay,bdod,soc
,,No data available,,,,91.3,8.2,,,,,,,,,
,,No data available,,,,91.4,8.2,,,,,,,,,
,,No data available,,,,91.5,8.2,,,,,,,,,
,,No data available,,,,91.6,8.2,,,,,,,,,
,,No data available,,,,91.7,8.2,,,,,,,,,
,,No data available,,,,91.8,8.2,,,,,,,,,
,,No data available,,,,91.9,8.2,,,,,,,,,
,,No data available,,,,92.0,8.2,,,,,,,,,
,,No data available,,,,92.1,8.2,,,,,,,,,
,,No data available,,,,92.2,8.2,,,,,,,,,
,,No data available,,,,92.3,8.2,,,,,,,,,
,,No data available,,,,92.4,8.2,,,,,,,,,
,,No data available,,,,92.5,8.2,,,,,,,,,
,,No data available,,,,92.6,8.2,,,,,,,,,
,,No data available,,,,92.7,8.2,,,,,,,,,
,,No data available,,,,92.8,8.2,,,,,,,,,
,,No data available,,,,92.9,8.2,,,,,,,,,
,,No data available,,,,93.0,8.2,,,,,,,,,
,,No data available,,,,93.1,8.2,,,,,,,,,
,,No data available,,,,93.2,8.2,,,,,,,,,
,,No data available,,,,93.3,8.2,,,,,,,,,
,,No data available,,,,93.4,8.2,,,,,,,,,
,,No data available,,,,93.5,8.2,,,,,,,,,
,,No data available,,,,93.6,8.2,,,,,,,,,
,,No data available,,,,93.7,8.2,,,,,,,,,
,,No data available,,,,93.8,8.2,,,,,,,,,
,,No data available,,,,93.9,8.2,,,,,,,,,
,,No data available,,,,94.0,8.2,,,,,,,,,
,,No data available,,,,94.1,8.2,,,,,,,,,
,,No data available,,,,94.2,8.2,,,,,,,,,
,,No data available,,,,94.3,8.2,,,,,,,,,
,,No data available,,,,94.4,8.2,,,,,,,,,
,,No data available,,,,94.5,8.2,,,,,,,,,
,,No data available,,,,94.6,8.2,,,,,,,,,
,,No data available,,,,94.7,8.2,,,,,,,,,
,,No data available,,,,94.8,8.2,,,,,,,,,
,,No data available,,,,94.9,8.2,,,,,,,,,
,,No data available,,,,95.0,8.2,,,,,,,,,
,,No data available,,,,95.1,8.2,,,,,,,,,
,,No data available,,,,95.2,8.2,,,,,,,,,
,,No data available,,,,95.3,8.2,,,,,,,,,
,,No data available,,,,95.4,8.2,,,,,,,,,
,,No data available,,,,95.5,8.2,,,,,,,,,
,,No data available,,,,95.6,8.2,,,,,,,,,
,,No data available,,,,95.7,8.2,,,,,,,,,
,,No data available,,,,95.8,8.2,,,,,,,,,
,,No data available,,,,95.9,8.2,,,,,,,,,
,,No data available,,,,96.0,8.2,,,,,,,,,
,,No data available,,,,96.1,8.2,,,,,,,,,
,,No data available,,,,96.2,8.2,,,,,,,,,
,,No data available,,,,96.3,8.2,,,,,,,,,
,,No data available,,,,96.4,8.2,,,,,,,,,
,,No data available,,,,96.5,8.2,,,,,,,,,
,,No data available,,,,96.6,8.2,,,,,,,,,
,,No data available,,,,96.7,8.2,,,,,,,,,
,,No data available,,,,96.8,8.2,,,,,,,,,
,,No data available,,,,96.9,8.2,,,,,,,,,
,,No data available,,,,97.0,8.2,,,,,,,,,
,,No data available,,,,97.1,8.2,,,,,,,,,
,,No data available,,,,97.2,8.2,,,,,,,,,
,,No data available,,,,97.3,8.2,,,,,,,,,
,,No data available,,,,97.4,8.2,,,,,,,,,
,,No data available,,,,97.5,8.2,,,,,,,,,
,,No data available,,,,97.6,8.2,,,,,,,,,
,,No data available,,,,97.7,8.2,,,,,,,,,
,,No data available,,,,97.8,8.2,,,,,,,,,
,,No data available,,,,97.9,8.2,,,,,,,,,
,,No data available,,,,98.0,8.2,,,,,,,,,
